desk_id;deskname;top;left;width;height;floor_id;picalign;category;seats;bookable;phone;window;computer;monitor;printer;"ethernet jack";projector;coffee;whiteboard;customclickurl;key;latitude;longitude;function1;function2;function3;function4;function5;закрепленное;zakrep
20210901171029415;"АБК 3-314-39";1754;1159;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171030274;"АБК 3-314-40";1755;1443;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171030857;"АБК 3-314-41";1760;1644;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
2021090117123817;"АБК 3-315-42";1884;1476;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171238679;"АБК 3-315-43";1887;1337;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171239385;"АБК 3-315-44";1940;1171;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171240465;"АБК 3-315-45";1980;1487;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171241164;"АБК 3-315-46";1978;1596;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171326635;"АБК 3-316-49";2124;1639;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171327492;"АБК 3-316-50";2122;1501;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171328188;"АБК 3-316-51";2124;1388;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171328940;"АБК 3-316-52";2125;1259;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171329634;"АБК 3-316-53";2122;1146;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171330356;"АБК 3-316-54";2281;1187;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
2021090117133189;"АБК 3-316-55";2393;1182;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171331802;"АБК 3-316-56";2486;1182;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171332949;"АБК 3-316-57";2599;1181;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171333726;"АБК 3-316-58";2598;1331;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171334488;"АБК 3-316-59";2598;1479;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171335469;"АБК 3-316-47";2411;1552;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171336240;"АБК 3-316-48";2310;1549;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
2021090117155511;"АБК 3-318-60";2738;2043;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171555446;"АБК 3-318-61";2891;2041;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171556151;"АБК 3-318-62";3048;2040;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171556782;"АБК 3-318-63";3047;2170;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171557417;"АБК 3-318-64";3041;2304;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171558163;"АБК 3-318-65";2891;2300;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171816113;"АБК 3-319-67";2747;2478;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171816919;"АБК 3-319-68";2885;2481;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171817715;"АБК 3-319-69";3034;2475;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171818566;"АБК 3-319-70";3035;2687;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171819503;"АБК 3-319-71";3037;2942;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171820314;"АБК 3-319-72";2934;2940;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
2021090117182199;"АБК 3-319-73";2764;2939;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171821901;"АБК 3-319-66";2732;2689;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
20210901171829888;"АБК 3-320-74";3016;3113;-1;-1;2021070922240315;top;;;True;;;;;;;;;;;;;;;;;;;;
